cwe_id,cwe_name,cwe_description,category,category_description,mitigation,applicable_languages,Reason_tag,Additional_tags
1004,Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.","Web Development, API & Web Services","Backend frameworks, REST APIs, session management, front-end integration. Building/consuming RESTful APIs, microservices, GraphQL.",Ensure that cookies storing sensitive information are marked with the HttpOnly flag to prevent access from client-side scripts.,Language-agnostic,"The issue involves session management within web applications, specifically how cookies are handled in a web development context.","['Data safety and security', 'Authentication & Authorization']"
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.","Ensure that visually similar characters are distinguished by using techniques such as font styles, context clues, or warnings. Implement input validation to detect and handle homoglyphs effectively.",Language-agnostic,This weakness involves the way information is presented and interpreted by users. It falls under input validation because it deals with how inputs that contain visually similar characters are processed and displayed. Ensuring distinct visual representation and proper validation can prevent misinterpretation.,"['Web Development, API & Web Services']"
102,Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.","Web Development, API & Web Services","Backend frameworks, REST APIs, session management, front-end integration. Building/consuming RESTful APIs, microservices, GraphQL.",Ensure that each validation form in Struts has a unique name to prevent unintended validation of forms.,Java Language specific weakness,"This CWE is associated with the Struts framework, which is primarily used in Java-based web applications. It involves the incorrect configuration of validation forms, which is directly relevant to web development practices.",[]
1021,Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.","Web Development, API & Web Services","Backend frameworks, REST APIs, session management, front-end integration. Building/consuming RESTful APIs, microservices, GraphQL.",Implement proper Content Security Policy (CSP) headers to restrict framing to trusted sources only and use the 'X-Frame-Options' header to prevent clickjacking attacks by ensuring that content is not embedded in iframes from unauthorized domains.,Language-agnostic,"This CWE is associated with the web development domain as it pertains to rendering UI layers and frames, which are typically managed within web applications. The issue often arises from improper configurations or lack of proper security headers in web applications.",Data safety and security
1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.","Web Development, API & Web Services","Backend frameworks, REST APIs, session management, front-end integration. Building/consuming RESTful APIs, microservices, GraphQL.",Use the `rel='noopener noreferrer'` attribute in anchor tags to prevent the external site from accessing the window.opener object.,Language-agnostic,"This CWE involves the handling of web links and browser window properties, which are aspects of web development. The vulnerability arises when a web application improperly manages window interactions with external sites, which falls under front-end integration and web security within web development.",['Data safety and security']
1023,Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.",Ensure that all relevant factors or characteristics are considered in comparisons by reviewing requirements and domain logic thoroughly. Implement comprehensive test cases to verify correctness.,Language-agnostic,"This CWE deals with the fundamental issue of performing incomplete or incorrect comparisons, which affects code logic, complexity, and maintainability across various programming languages.",[]
1024,Comparison of Incompatible Types,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","Ensure that the types being compared are compatible. Use type conversion or casting where necessary, and implement thorough unit tests to verify the correctness of comparisons.",Language-agnostic,"This CWE is related to incorrect handling of data types and language syntax, which are fundamental issues covered under Language Basics. It affects the code quality and maintainability across different programming languages.",[]
1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.",Ensure comparisons are made using the correct attributes or factors of the entities involved. Review and understand the logic of comparisons in code to prevent incorrect results.,Language-agnostic,"This weakness involves using incorrect criteria for comparisons, which is a fundamental issue related to code logic and correctness. This relates to basic programming principles across any language, making it a language basics issue.",[]
103,Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.","Ensure that the validate() method is correctly defined and calls super.validate() to leverage built-in validation. Additionally, ensure comprehensive validation logic to handle all expected input scenarios.",Java Language specific weakness,"This CWE involves incomplete implementation of a validation method in the Struts framework, which is commonly used in Java. It directly relates to ensuring input validation is properly implemented to prevent invalid or harmful input data from affecting application behavior.","[{'tag': 'Web Development, API & Web Services', 'description': 'Backend frameworks, REST APIs, session management, front-end integration. Building/consuming RESTful APIs, microservices, GraphQL.'}]"
1037,Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.","Ensure that security-critical code is explicitly marked with optimization barriers or directives that prevent compiler optimizations from altering or removing them. Additionally, conduct thorough testing and code reviews to verify that optimizations do not compromise security mechanisms.",Language-agnostic,"The issue arises due to the core language feature of optimization, which can affect any language where compilers perform optimization. It is not specific to any one language but rather relates to understanding how optimizations can impact code, hence it falls under Language Basics.",[]
